Origem,Saida,Chegada,Destino,Periodo,Frequencia
Aeroparque,03:40,07:00,Brasília,01/maio - 31/maio,Domingo
Aeroparque,14:20,17:35,Confins,01/maio - 31/maio,Quarta
Aeroparque,16:25,19:45,Confins,01/maio - 31/maio,Sábado
Aeroparque,10:40,12:40,Florianópolis,01/maio - 31/maio,Domingo
Aeroparque,20:30,22:30,Florianópolis,01/maio - 31/maio,Sexta Sábado Domingo
Aeroparque,22:25,00:25,Florianópolis,01/maio - 31/maio,Sexta
Aeroparque,22:25,00:25,Florianópolis,01/maio - 31/maio,Segunda Quarta Sexta
Aeroparque,22:00,03:20,Fortaleza,01/maio - 31/maio,Sábado
Aeroparque,00:20,03:15,Galeão,01/maio - 31/maio,Quinta
Aeroparque,13:55,16:50,Galeão,01/maio - 31/maio,Sábado Segunda Terça Quarta Quinta
Aeroparque,15:50,18:45,Galeão,01/maio - 31/maio,Sexta Sábado Domingo
Aeroparque,16:00,18:55,Galeão,01/maio - 31/maio,Quarta
Aeroparque,03:30,05:55,Guarulhos,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Aeroparque,09:00,11:55,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aeroparque,10:20,13:10,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aeroparque,13:40,16:45,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aeroparque,18:20,21:15,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo
Aeroparque,00:15,05:45,Natal,01/maio - 31/maio,Domingo
Aeroparque,22:25,23:55,Porto Alegre,01/maio - 31/maio,Segunda Quarta Sexta
Aeroparque,19:40,00:40,Recife,01/maio - 31/maio,Sábado
Aeroparque,22:25,03:25,Recife,01/maio - 31/maio,Terça
Aeroparque,19:05,23:30,Salvador,01/maio - 31/maio,Sábado
Aeroparque,22:25,02:50,Salvador,01/maio - 31/maio,Quinta Sábado
Aracaju,12:05,15:00,Congonhas,01/maio - 31/maio,Sábado
Aracaju,16:35,19:00,Galeão,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aracaju,02:15,05:00,Guarulhos,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
