is_best,cia,departure,arrival,duration,stops,price,origem (IATA),origem (ICAO),origem,destino (IATA),destino (ICAO),destino,distancia
True,Gol,"12:10 PM on Fri, Sep 19","1:50 PM on Fri, Sep 19",1 hr 40 min,0,691,NAT,SBSG,Natal,SSA,SBSV,Salvador,853.95
True,Gol,"12:15 AM on Fri, Sep 19","3:25 AM on Fri, Sep 19",3 hr 10 min,0,2028,GRU,SBGR,Guarulhos,THE,SBTE,Teresina,2070.58
True,Gol,"12:05 PM on Fri, Sep 19","1:50 PM on Fri, Sep 19",1 hr 45 min,0,771,JPA,SBJP,João Pessoa,SSA,SBSV,Salvador,736.87
True,Gol,"1:15 PM on Fri, Sep 19","2:40 PM on Fri, Sep 19",1 hr 25 min,0,308,CGH,SBSP,Congonhas,MGF,SBMG,Maringá,547.48
True,Gol,"5:00 AM on Fri, Sep 19","7:20 AM on Fri, Sep 19",2 hr 20 min,0,647,SLZ,SBSL,São Luís,BSB,SBBR,Brasília,1523.63
True,Gol,"5:40 AM on Fri, Sep 19","8:00 AM on Fri, Sep 19",2 hr 20 min,0,657,FLN,SBFL,Florianópolis,BSB,SBBR,Brasília,1308.36
True,Gol,"1:20 PM on Fri, Sep 19","2:40 PM on Fri, Sep 19",1 hr 20 min,0,407,CGH,SBSP,Congonhas,UDI,SBUL,Uberlândia,549.74
True,Gol,"3:25 AM on Fri, Sep 19","5:20 AM on Fri, Sep 19",1 hr 55 min,0,530,FOR,SBFZ,Fortaleza,SSA,SBSV,Salvador,1010.35
True,Gol,"2:20 PM on Fri, Sep 19","3:20 PM on Fri, Sep 19",1 hr,0,257,JOI,SBJV,Joinville,CGH,SBSP,Congonhas,359.88
True,Gol,"3:35 AM on Fri, Sep 19","8:00 AM on Fri, Sep 19",4 hr 25 min,0,1028,SSA,SBSV,Salvador,AEP,SABE,Aeroparque,3140.33
True,Gol,"7:55 PM on Fri, Sep 19","10:40 PM on Fri, Sep 19",2 hr 45 min,0,595,AJU,SBAR,Aracaju,GRU,SBGR,Guarulhos,1700.91
True,Gol,"9:35 AM on Fri, Sep 19","11:55 AM on Fri, Sep 19",2 hr 20 min,0,542,GIG,SBGL,Galeão,AJU,SBAR,Aracaju,1464.15
True,Gol,"2:10 PM on Fri, Sep 19","3:20 PM on Fri, Sep 19",1 hr 10 min,0,417,PPB,SBDN,Presidente Prudente,CGH,SBSP,Congonhas,514.15
True,Gol,"8:45 AM on Fri, Sep 19","11:30 AM on Fri, Sep 19",2 hr 45 min,0,3294,BSB,SBBR,Brasília,NAT,SBSG,Natal,1768.55
True,Gol,"9:25 AM on Fri, Sep 19","11:40 AM on Fri, Sep 19",2 hr 15 min,0,556,GRU,SBGR,Guarulhos,ASU,SGAS,Assunção,1138.12
True,Gol,"2:30 PM on Fri, Sep 19","4:15 PM on Fri, Sep 19",1 hr 45 min,0,434,IGU,SBFI,Foz do Iguaçu,CGH,SBSP,Congonhas,822.2
True,Gol,"4:35 PM on Fri, Sep 19","7:00 PM on Fri, Sep 19",2 hr 25 min,0,643,AJU,SBAR,Aracaju,GIG,SBGL,Galeão,1464.15
True,Gol,"10:10 PM on Fri, Sep 19","1:10 AM on Sat, Sep 20",3 hr,0,512,CGH,SBSP,Congonhas,MCZ,SBMO,Maceió,1943.16
