is_best,cia,departure,arrival,duration,stops,price,origem (IATA),origem (ICAO),origem,destino,destino (ICAO),destino (IATA),distancia
True,Gol,"3:50 PM on Fri, Sep 19","6:45 PM on Fri, Sep 19",2 hr 55 min,0,1675,AEP,SABE,Aeroparque,Galeão,SBGL,GIG,1968.49
True,Gol,"10:25 PM on Fri, Sep 19","11:55 PM on Fri, Sep 19",1 hr 30 min,0,1325,AEP,SABE,Aeroparque,Porto Alegre,SBPA,POA,849.38
True,Gol,"4:35 PM on Fri, Sep 19","7:00 PM on Fri, Sep 19",2 hr 25 min,0,643,AJU,SBAR,Aracaju,Galeão,SBGL,GIG,1464.15
True,Gol,"7:55 PM on Fri, Sep 19","10:40 PM on Fri, Sep 19",2 hr 45 min,0,597,AJU,SBAR,Aracaju,Guarulhos,SBGR,GRU,1700.91
True,Gol,"12:35 PM on Fri, Sep 19","1:25 PM on Fri, Sep 19",50 min,0,329,AJU,SBAR,Aracaju,Salvador,SBSV,SSA,252.55
True,Gol,"1:40 PM on Fri, Sep 19","2:45 PM on Fri, Sep 19",1 hr 5 min,0,274,ARU,SBAU,Araçatuba,Congonhas,SBSP,CGH,475.71
True,Gol,"12:30 PM on Fri, Sep 19","2:35 PM on Fri, Sep 19",2 hr 5 min,0,760,ASU,SGAS,Assunção,Guarulhos,SBGR,GRU,1138.12
True,Gol,"3:15 AM on Fri, Sep 19","6:50 AM on Fri, Sep 19",3 hr 35 min,0,1493,BEL,SBBE,Belém,Galeão,SBGL,GIG,2436.88
True,Gol,"5:25 PM on Fri, Sep 19","9:05 PM on Fri, Sep 19",3 hr 40 min,0,432,BEL,SBBE,Belém,Guarulhos,SBGR,GRU,2449.25
True,Gol,"12:35 PM on Fri, Sep 19","1:35 PM on Fri, Sep 19",1 hr,0,373,BEL,SBBE,Belém,Macapá,SBMQ,MCP,329.24
True,Gol,"11:33 PM on Fri, Sep 19","7:05 AM on Sat, Sep 20",5 hr 32 min,0,1476,BOG,SKBO,Bogotá,Brasília,SBBR,BSB,3677.55
True,Gol,"2:20 PM on Fri, Sep 19","3:40 PM on Fri, Sep 19",1 hr 20 min,0,833,BPS,SBPS,Porto Seguro,Confins,SBCF,CNF,626.23
True,Gol,"10:05 PM on Fri, Sep 19","12:40 AM on Sat, Sep 20",3 hr 35 min,0,2632,BSB,SBBR,Brasília,Boa Vista,SBBV,BVB,2501.83
True,Gol,"8:40 AM on Fri, Sep 19","9:35 AM on Fri, Sep 19",1 hr 55 min,0,324,BSB,SBBR,Brasília,Cuiabá,SBCY,CGB,878.65
True,Gol,"9:10 PM on Fri, Sep 19","11:35 PM on Fri, Sep 19",2 hr 25 min,0,832,BSB,SBBR,Brasília,Florianópolis,SBFL,FLN,1308.36
True,Gol,"9:45 AM on Fri, Sep 19","10:40 AM on Fri, Sep 19",55 min,0,1178,BSB,SBBR,Brasília,Goiânia,SBGO,GYN,163.0
True,Gol,"8:45 AM on Fri, Sep 19","11:25 AM on Fri, Sep 19",2 hr 40 min,0,1862,BSB,SBBR,Brasília,João Pessoa,SBJP,JPA,1711.54
True,Gol,"11:10 PM on Fri, Sep 19","1:20 AM on Sat, Sep 20",2 hr 10 min,0,557,BSB,SBBR,Brasília,Marabá,SBMA,MAB,1169.17
True,Gol,"9:40 AM on Fri, Sep 19","5:05 PM on Fri, Sep 19",8 hr 25 min,0,1949,BSB,SBBR,Brasília,Orlando,KMCO,MCO,6078.96
True,Gol,"10:10 AM on Fri, Sep 19","5:20 PM on Fri, Sep 19",8 hr 10 min,0,1648,BSB,SBBR,Brasília,Miami,KMIA,MIA,5791.75
True,Gol,"8:45 AM on Fri, Sep 19","11:30 AM on Fri, Sep 19",2 hr 45 min,0,3294,BSB,SBBR,Brasília,Natal,SBSG,NAT,1768.55
True,Gol,"8:50 PM on Fri, Sep 19","10:15 PM on Fri, Sep 19",1 hr 25 min,0,1151,BSB,SBBR,Brasília,Palmas,SBPJ,PMW,619.05
True,Gol,"8:55 PM on Fri, Sep 19","10:50 PM on Fri, Sep 19",2 hr 55 min,0,1881,BSB,SBBR,Brasília,Porto Velho,SBPV,PVH,1908.91
