Origem,Origem (IATA),Origem (ICAO),Saida,Chegada,Destino,Destino (IATA),Destino (ICAO),Periodo,Frequencia
Aeroparque,AEP,SABE,03:40,07:00,Brasília,BSB,SBBR,01/maio - 31/maio,Domingo
Aeroparque,AEP,SABE,14:20,17:35,Confins,CNF,SBCF,01/maio - 31/maio,Quarta
Aeroparque,AEP,SABE,16:25,19:45,Confins,CNF,SBCF,01/maio - 31/maio,Sábado
Aeroparque,AEP,SABE,10:40,12:40,Florianópolis,FLN,SBFL,01/maio - 31/maio,Domingo
Aeroparque,AEP,SABE,20:30,22:30,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Sábado Domingo
Aeroparque,AEP,SABE,22:25,00:25,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta
Aeroparque,AEP,SABE,22:25,00:25,Florianópolis,FLN,SBFL,01/maio - 31/maio,Segunda Quarta Sexta
Aeroparque,AEP,SABE,22:00,03:20,Fortaleza,FOR,SBFZ,01/maio - 31/maio,Sábado
Aeroparque,AEP,SABE,00:20,03:15,Galeão,GIG,SBGL,01/maio - 31/maio,Quinta
Aeroparque,AEP,SABE,13:55,16:50,Galeão,GIG,SBGL,01/maio - 31/maio,Sábado Segunda Terça Quarta Quinta
Aeroparque,AEP,SABE,15:50,18:45,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Sábado Domingo
Aeroparque,AEP,SABE,16:00,18:55,Galeão,GIG,SBGL,01/maio - 31/maio,Quarta
Aeroparque,AEP,SABE,03:30,05:55,Guarulhos,GRU,SBGR,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Aeroparque,AEP,SABE,09:00,11:55,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aeroparque,AEP,SABE,10:20,13:10,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aeroparque,AEP,SABE,13:40,16:45,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aeroparque,AEP,SABE,18:20,21:15,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo
Aeroparque,AEP,SABE,00:15,05:45,Natal,NAT,SBSG,01/maio - 31/maio,Domingo
Aeroparque,AEP,SABE,22:25,23:55,Porto Alegre,POA,SBPA,01/maio - 31/maio,Segunda Quarta Sexta
Aeroparque,AEP,SABE,19:40,00:40,Recife,REC,SBRF,01/maio - 31/maio,Sábado
Aeroparque,AEP,SABE,22:25,03:25,Recife,REC,SBRF,01/maio - 31/maio,Terça
Aeroparque,AEP,SABE,19:05,23:30,Salvador,SSA,SBSV,01/maio - 31/maio,Sábado
Aeroparque,AEP,SABE,22:25,02:50,Salvador,SSA,SBSV,01/maio - 31/maio,Quinta Sábado
Aracaju,AJU,SBAR,12:05,15:00,Congonhas,CGH,SBSP,01/maio - 31/maio,Sábado
Aracaju,AJU,SBAR,16:35,19:00,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aracaju,AJU,SBAR,02:15,05:00,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Aracaju,AJU,SBAR,19:20,22:00,Guarulhos,GRU,SBGR,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Aracaju,AJU,SBAR,12:35,13:25,Salvador,SSA,SBSV,01/maio - 31/maio,Sexta Sábado Domingo
Araçatuba,ARU,SBAU,13:45,14:55,Congonhas,CGH,SBSP,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Assunção,ASU,SGAS,12:30,14:35,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Domingo
Aruba,AUA,TNCA,22:30,05:40,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sábado
Belém,BEL,SBBE,05:00,07:35,Brasília,BSB,SBBR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Belém,BEL,SBBE,17:00,19:40,Brasília,BSB,SBBR,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Belém,BEL,SBBE,03:15,06:50,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Sábado Segunda Terça Quarta Quinta
Belém,BEL,SBBE,03:15,07:00,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Domingo
Belém,BEL,SBBE,03:55,07:40,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sábado
Belém,BEL,SBBE,12:35,13:35,Macapá,MCP,SBMQ,01/maio - 31/maio,Sexta Domingo
Belém,BEL,SBBE,12:40,14:35,Paramaribo,PBM,SMJP,01/maio - 31/maio,Sábado
Belém,BEL,SBBE,00:35,02:00,Santarém,STM,SBSN,01/maio - 31/maio,Sexta Sábado
Belém,BEL,SBBE,18:50,20:15,Santarém,STM,SBSN,01/maio - 31/maio,Sábado
Bogotá,BOG,SKBO,23:20,06:50,Brasília,BSB,SBBR,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Bogotá,BOG,SKBO,13:25,17:30,Manaus,MAO,SBEG,01/maio - 31/maio,Quarta Domingo
Porto Seguro,BPS,SBPS,08:30,10:40,Congonhas,CGH,SBSP,01/maio - 31/maio,Domingo
Porto Seguro,BPS,SBPS,12:45,14:55,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta Sábado Domingo
Porto Seguro,BPS,SBPS,17:00,19:05,Congonhas,CGH,SBSP,01/maio - 31/maio,Domingo
Porto Seguro,BPS,SBPS,17:25,19:35,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta
Porto Seguro,BPS,SBPS,17:50,19:55,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta
Porto Seguro,BPS,SBPS,08:20,09:40,Confins,CNF,SBCF,01/maio - 31/maio,Domingo
Porto Seguro,BPS,SBPS,14:20,15:40,Confins,CNF,SBCF,01/maio - 31/maio,Sexta
Porto Seguro,BPS,SBPS,16:35,17:55,Confins,CNF,SBCF,01/maio - 31/maio,Sábado
Porto Seguro,BPS,SBPS,21:15,22:35,Confins,CNF,SBCF,01/maio - 31/maio,Sábado
Porto Seguro,BPS,SBPS,22:55,00:15,Confins,CNF,SBCF,01/maio - 31/maio,Domingo
Porto Seguro,BPS,SBPS,22:30,02:40,Ezeiza,EZE,SAEZ,01/maio - 31/maio,Sábado
Porto Seguro,BPS,SBPS,11:20,13:25,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Porto Seguro,BPS,SBPS,18:50,20:50,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Domingo
Porto Seguro,BPS,SBPS,14:20,15:20,Salvador,SSA,SBSV,01/maio - 31/maio,Sábado
Brasília,BSB,SBBR,22:05,00:40,Boa Vista,BVB,SBBV,01/maio - 31/maio,Segunda Quarta Sexta Domingo
Brasília,BSB,SBBR,08:40,09:35,Cuiabá,CGB,SBCY,01/maio - 31/maio,Terça Quinta Sábado
Brasília,BSB,SBBR,21:20,22:15,Cuiabá,CGB,SBCY,01/maio - 31/maio,Sexta
Brasília,BSB,SBBR,23:40,00:35,Cuiabá,CGB,SBCY,01/maio - 31/maio,Domingo
Brasília,BSB,SBBR,07:00,08:50,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:35,10:25,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,09:30,11:15,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta
Brasília,BSB,SBBR,09:45,11:35,Congonhas,CGH,SBSP,01/maio - 31/maio,Domingo
Brasília,BSB,SBBR,10:45,12:35,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,14:00,15:50,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta
Brasília,BSB,SBBR,16:50,18:40,Congonhas,CGH,SBSP,01/maio - 31/maio,Domingo
Brasília,BSB,SBBR,17:00,18:45,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,17:40,19:35,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta
Brasília,BSB,SBBR,17:45,19:35,Congonhas,CGH,SBSP,01/maio - 31/maio,Domingo
Brasília,BSB,SBBR,19:00,20:45,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,19:45,21:40,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,20:25,22:20,Congonhas,CGH,SBSP,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:35,09:55,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Sábado
Brasília,BSB,SBBR,09:20,10:40,Confins,CNF,SBCF,01/maio - 31/maio,Domingo
Brasília,BSB,SBBR,20:55,22:20,Confins,CNF,SBCF,01/maio - 31/maio,Sexta Domingo
Brasília,BSB,SBBR,09:55,16:00,Cancun,CUN,MMUN,01/maio - 31/maio,Terça Sábado
Brasília,BSB,SBBR,08:30,10:25,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,21:15,23:15,Curitiba,CWB,SBCT,01/maio - 31/maio,Sexta Domingo
Brasília,BSB,SBBR,08:25,12:00,Ezeiza,EZE,SAEZ,01/maio - 31/maio,Domingo
Brasília,BSB,SBBR,21:10,23:35,Florianópolis,FLN,SBFL,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,08:50,11:25,Fortaleza,FOR,SBFZ,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,20:55,23:30,Fortaleza,FOR,SBFZ,01/maio - 31/maio,Sexta Domingo
Brasília,BSB,SBBR,00:15,02:05,Galeão,GIG,SBGL,01/maio - 31/maio,Quinta
Brasília,BSB,SBBR,00:30,02:20,Galeão,GIG,SBGL,01/maio - 31/maio,Segunda
Brasília,BSB,SBBR,04:50,06:40,Galeão,GIG,SBGL,01/maio - 31/maio,Domingo
Brasília,BSB,SBBR,08:25,10:10,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Sábado Domingo
Brasília,BSB,SBBR,10:15,12:00,Galeão,GIG,SBGL,01/maio - 31/maio,Terça Sexta Sábado Domingo
Brasília,BSB,SBBR,15:50,17:35,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Sábado Domingo Terça Quarta Sexta Sábado
Brasília,BSB,SBBR,18:15,20:05,Galeão,GIG,SBGL,01/maio - 31/maio,Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,20:45,22:35,Galeão,GIG,SBGL,01/maio - 31/maio,Sexta Domingo Segunda Terça Quarta Quinta
Brasília,BSB,SBBR,06:00,08:00,Guarulhos,GRU,SBGR,01/maio - 31/maio,Sexta Sábado Domingo Segunda Terça Quarta Quinta
